,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
13826,34117,12,021,12,FL,021,Collier County,H1
13827,34119,12,021,12,FL,021,Collier County,H1
13828,34119,12,071,12,FL,071,Lee County,H1
13829,34120,12,021,12,FL,021,Collier County,H1
13830,34134,12,021,12,FL,021,Collier County,H1
13831,34134,12,071,12,FL,071,Lee County,H1
13832,34135,12,071,12,FL,071,Lee County,H1
13833,34137,12,021,12,FL,021,Collier County,H1
13834,34138,12,021,12,FL,021,Collier County,H1
13835,34139,12,021,12,FL,021,Collier County,H1
13836,34140,12,021,12,FL,021,Collier County,H1
13837,34141,12,021,12,FL,021,Collier County,H1
13838,34141,12,087,12,FL,087,Monroe County,H1
13839,34142,12,021,12,FL,021,Collier County,H1
13840,34142,12,051,12,FL,051,Hendry County,H1
13841,34145,12,021,12,FL,021,Collier County,H1
13842,34201,12,081,12,FL,081,Manatee County,H1
13843,34202,12,081,12,FL,081,Manatee County,H1
13844,34203,12,081,12,FL,081,Manatee County,H1
13845,34205,12,081,12,FL,081,Manatee County,H1
13846,34207,12,081,12,FL,081,Manatee County,H1
13847,34208,12,081,12,FL,081,Manatee County,H1
13848,34209,12,081,12,FL,081,Manatee County,H1
13849,34210,12,081,12,FL,081,Manatee County,H1
13850,34211,12,081,12,FL,081,Manatee County,H1
13851,34212,12,081,12,FL,081,Manatee County,H1
13852,34215,12,081,12,FL,081,Manatee County,H1
13853,34216,12,081,12,FL,081,Manatee County,H1
13854,34217,12,081,12,FL,081,Manatee County,H1
13855,34219,12,081,12,FL,081,Manatee County,H1
13856,34221,12,081,12,FL,081,Manatee County,H1
13857,34222,12,081,12,FL,081,Manatee County,H1
13858,34223,12,015,12,FL,015,Charlotte County,H1
13859,34223,12,115,12,FL,115,Sarasota County,H1
13860,34224,12,015,12,FL,015,Charlotte County,H1
13861,34224,12,115,12,FL,115,Sarasota County,H1
13862,34228,12,081,12,FL,081,Manatee County,H1
13863,34228,12,115,12,FL,115,Sarasota County,H1
